,repositorio_name,repositorio_language,repositorio_fork
200,mxnet_to_onnx,Python,12
201,nccl,C++,674
202,nccl-tests,Cuda,177
203,nebula-nsight,Java,3
204,NeMo,Python,1913
205,NeMo-Guardrails,Python,197
206,NeMo-Megatron-Launcher,Python,74
207,NeMo-speech-data-processor,Python,6
208,NeMo-text-processing,Python,49
209,nephele,HCL,12
210,nephele-packages,Makefile,5
211,ngc-container-environment-modules,Lua,7
212,ngc-container-replicator,Python,12
213,ngc-examples,Python,10
214,nsight-aftermath-samples,C,11
215,nsight-training,C,27
216,nsight-vscode-edition,TypeScript,7
217,nv-wavenet,Cuda,126
218,nvaitc-toolkit,Dockerfile,5
219,nvapi,C,3
220,nvbandwidth,C++,14
221,nvbench,Cuda,51
222,nvbench_demo,Cuda,4
223,nvcomp,C++,72
224,NVFlare,Python,127
225,nvgpu,C,8
226,nvidia-container-runtime,,170
227,nvidia-container-toolkit,Go,98
228,nvidia-docker,,2136
229,nvidia-gcp-samples,Python,7
230,nvidia-installer,C,30
231,nvidia-modprobe,C,16
232,nvidia-persistenced,C,14
233,nvidia-query-resource-opengl,C,9
234,nvidia-settings,C,78
235,nvidia-terraform-modules,HCL,10
236,nvidia-xconfig,C,13
237,NVIDIAOpticalFlowSDK,C,10
238,NVIDIA_AI_Enterprise_AzureML,Shell,7
239,nvindex-cloud,Cuda,5
240,NvPipe,Cuda,99
241,NVPLSamples,C,0
242,nvsci,C,3
243,nvscic2c,,7
244,NVSM,Python,3
245,nvstrings,Python,3
246,nvtrust,,15
247,NVTX,C,36
248,nvtx-plugins,Python,15
249,nvvl,C++,86
250,O-RAN-Archive,,1
251,object-detection-tensorrt-example,Python,61
252,online-softmax,Cuda,8
253,onnx-tensorrt,,0
254,open-gpu-doc,C,87
255,open-gpu-kernel-modules,C,1035
256,OpenSeq2Seq,Python,376
257,optee_os-nvidia,C,5
258,optix-toolkit,CMake,10
259,OptiX_Apps,C++,38
260,otk-cmake,CMake,1
261,otk-demand-loading,C++,4
262,otk-examples,C++,4
263,otk-memory,C++,3
264,otk-omm-baking,C++,3
265,otk-pyoptix,C++,4
266,otk-shader-util,C++,0
267,packer-builder-xenserver,Go,3
268,partialconv,Python,211
269,pix2pixHD,Python,1373
270,PixelView,Python,5
271,PLDM-unpack,Python,1
272,PRBench,C++,15
273,presto-mapd-connector,Java,3
274,ProViz-AI-Samples,C++,5
275,proxyfs,Go,25
276,proxyfs-jrpc-client,C,5
277,proxyfs-vfs,C,6
278,ptp-nsight,Java,10
279,pynvrtc,Python,23
280,PyProf,Python,44
281,python-jetson,Python,10
282,pyxis,C,27
283,Q2RTX,C,179
284,radtts,Roff,35
285,rapidAligner,Jupyter Notebook,5
286,remorac,OCaml,7
287,retinanet-examples,Python,277
288,Rivermax,C++,10
289,rtx_compute_samples,C++,13
290,runx,Python,41
291,sampleQAT,Python,20
292,scenejs,JavaScript,8
293,scm_test,,0
294,self-intersection-avoidance,GLSL,2
295,semantic-segmentation,Python,380
296,sentiment-discovery,Python,206
297,SKA-gpu-degrid,Cuda,5
298,SKA-gpu-direct-convolve,,0
299,SKA-gpu-grid,Cuda,5
300,SKA-gpu-multiscale-clean,C++,5
301,SKA-gpu-reproject,,0
302,SKA-gpu-stefcal,Cuda,5
303,sortedmap,Go,3
304,spark-rapids,Scala,196
305,spark-rapids-benchmarks,Python,22
306,spark-rapids-container,Shell,13
307,spark-rapids-examples,Jupyter Notebook,40
308,spark-rapids-jni,Cuda,43
309,spark-rapids-ml,Jupyter Notebook,23
310,spark-rapids-tools,Scala,30
311,spark-xgboost,C++,7
312,spark-xgboost-examples,Jupyter Notebook,24
313,sparkucx,Scala,14
314,speechsquad,C++,11
315,Stable-Diffusion-WebUI-TensorRT,Python,63
316,stdexec,C++,110
317,swift,Python,5
318,swiftstack-collectd,C,2
319,swiftstack-collectd-plugin,Python,5
320,sybil,Rust,1
321,tacotron2,Jupyter Notebook,1306
322,tao_dataset_suite,Python,0
323,tao_deploy,Python,0
324,tao_front_end_services,Jupyter Notebook,0
325,tao_launcher,Python,0
326,tao_pytorch_backend,Python,5
327,tao_tensorflow1_backend,Python,0
328,tao_tensorflow2_backend,Python,0
329,tao_tutorials,Jupyter Notebook,0
330,tdl,JavaScript,4
331,tegra-nouveau-rootfs,,30
332,tegra-pinmux-scripts,Python,17
333,tegra-rootfs-scripts,Shell,12
334,tegra-uboot-flasher-manifests,,12
335,tegra-uboot-flasher-scripts,Python,29
336,tegra-uboot-scripts,Python,8
337,tegrarcm,C,28
338,tensorflow,C++,118
339,TensorRT,C++,1888
340,tensorrt-laboratory,C++,50
341,TensorRT-LLM,C++,240
342,three.js,JavaScript,8
343,thrust,C++,798
344,tinylinux-scripts,Shell,0
345,torch-android,CMake,3
346,torch-cudnn,Lua,4
347,torch-cunn,Cuda,3
348,torch-cutorch,Cuda,2
349,torch-distro,CMake,2
350,torch-harmonics,Jupyter Notebook,17
351,torch-nccl,Lua,3
352,TorchFort,C++,14
353,transformer-ls,Python,35
354,TransformerEngine,Python,147
355,trt-llm-rag-windows,Python,2
356,trt-samples-for-hackathon-cn,Python,294
357,ubuntu-packaging-nvidia-driver,,4
358,ubuntu-packaging-nvidia-modprobe,,2
359,ubuntu-packaging-nvidia-settings,,2
360,unsupervised-video-interpolation,Python,17
361,UnsupervisedLandmarkLearning,Python,11
362,url-polyfill,JavaScript,3
363,vagrant-swift-all-in-one,Ruby,59
364,vdisc,Go,5
365,vdpau-hevc-example,C,14
366,vdpau-win-x11,C,5
367,vgpu-device-manager,Go,9
368,vid2vid,Python,1208
369,video-sdk-samples,C++,104
370,VideoProcessingFramework,C++,216
371,VisRTX,C++,25
372,VTK-m-graph,C++,2
373,warp,HTML,113
374,waveglow,Python,521
375,WebGL,C,10
376,webgl-path-tracing,,6
377,winex_lgpl,C,16
378,workbench-example-llama2-finetune,Jupyter Notebook,1
379,workbench-example-nemo-ptuning,Jupyter Notebook,3
380,workbench-example-nemo-punctuation,Jupyter Notebook,1
381,workbench-example-rapids-cudf,Jupyter Notebook,2
382,workbench-example-rapids-cuml,Jupyter Notebook,1
383,workbench-example-sdxl-customization,Jupyter Notebook,1
384,yum-packaging-dkms-nvidia,Shell,6
385,yum-packaging-fabric-manager,,3
386,yum-packaging-libnvidia-nscq,,4
387,yum-packaging-nvidia-driver,Shell,4
388,yum-packaging-nvidia-kmod-common,Shell,5
389,yum-packaging-nvidia-modprobe,Shell,3
390,yum-packaging-nvidia-persistenced,Shell,3
391,yum-packaging-nvidia-plugin,Python,5
392,yum-packaging-nvidia-settings,Shell,3
393,yum-packaging-nvidia-xconfig,Shell,3
394,yum-packaging-precompiled-kmod,Shell,14
395,zypper-packaging-nvidia-driver,Shell,7
